[2026-04-24T13:45:39Z]   CDX check failed: timed out
[2026-04-24T13:45:39Z] [53/1937] no-snapshot  https://rgcfairfax.org/beliefs
[2026-04-24T13:45:46Z] [54/1937] no-snapshot  https://www.burkecommunity.com (403 blocked; existing detailed source data used)
[2026-04-24T13:46:03Z]   CDX check failed: timed out
[2026-04-24T13:46:03Z] [55/1937] no-snapshot  https://www.antioch-church.org/
[2026-04-24T13:46:21Z]   CDX check failed: timed out
[2026-04-24T13:46:21Z] [56/1937] no-snapshot  https://cathedral.org
[2026-04-24T13:46:29Z] [57/1937] older     https://nationalpres.org/about
[2026-04-24T13:46:39Z] [58/1937] fresh     https://pcusa.org/congregation/national-church-washington-dc
[2026-04-24T13:46:51Z] [59/1937] fresh     https://fbcparkstreet.com/about
[2026-04-24T13:47:09Z]   CDX check failed: timed out
[2026-04-24T13:47:09Z] [60/1937] no-snapshot  https://www.sbcv.org/churches/first-baptist-church-of-charlottesville/
[2026-04-24T13:47:09Z]   checkpoint: {"fresh": 29, "older": 9, "saved": 0, "skip": 0, "fail": 0, "cached": 0, "no-snapshot": 22}
[2026-04-24T13:47:19Z] [61/1937] older     https://www.northsidecville.com/team
[2026-04-24T13:47:36Z]   CDX check failed: timed out
[2026-04-24T13:47:36Z] [62/1937] no-snapshot  https://www.sbcv.org/churches/northside-baptist-church-charlottesville/
[2026-04-24T13:47:47Z] [63/1937] no-snapshot  https://churches.sbc.net/church/northside-baptist-church-of-charlottesville/
[2026-04-24T13:48:01Z] [64/1937] fresh     https://immanuelbible.church
[2026-04-24T13:48:19Z]   CDX check failed: timed out
[2026-04-24T13:48:19Z] [65/1937] no-snapshot  https://national.cc
[2026-04-24T13:48:36Z]   CDX check failed: timed out
[2026-04-24T13:48:36Z] [66/1937] no-snapshot  https://cornerstonechapel.net
[2026-04-24T13:48:50Z] [67/1937] fresh     https://loudoungop.com/gary-hamrick/
[2026-04-24T13:49:03Z] [68/1937] fresh     https://restorationcity.church/about
[2026-04-24T13:49:14Z] [69/1937] fresh     https://www.1bc.org
[2026-04-24T13:49:18Z] [70/1937] fresh     https://www.delraybaptist.org
[2026-04-24T13:49:18Z]   checkpoint: {"fresh": 34, "older": 10, "saved": 0, "skip": 0, "fail": 0, "cached": 0, "no-snapshot": 26}
[2026-04-24T13:49:34Z] [71/1937] fresh     https://truroanglican.com
[2026-04-24T13:49:52Z]   CDX check failed: timed out
[2026-04-24T13:49:52Z] [72/1937] no-snapshot  https://www.restonbible.org/about
[2026-04-24T13:50:01Z] [73/1937] fresh     https://centrevillebaptist.org
[2026-04-24T13:50:15Z]   CDX check failed: timed out
[2026-04-24T13:50:15Z] [74/1937] no-snapshot  https://centrevillebaptist.org/about
[2026-04-24T13:50:32Z]   CDX check failed: timed out
[2026-04-24T13:50:32Z] [75/1937] no-snapshot  https://www.gracecov.org
